"","ID","Desired.Direction","Critical","Agency.Number","UAAgyConcat","Agency.Full.Name.y","Unit.of.Appropriation","U.A.Name","2019","2023","2016","2021","2018","2017","2020","2022","Success","Service","Goal","Indicator","Target.MMR","YTDScaled","Avg3yr","Avg5yr","OneYrImproving","ThreeYrImproving","FiveYrImproving"
"1",114,"Up","No","810","8101","Department of Buildings","1","PERSONAL SERVICES",58.13,50.34,61.92,57.96,61.15,64.13,62.22,56.11,NA,"Facilitate safe and compliant development.","Promptly review initial construction plans.","Permitted jobs professionally certified (%)",NA,50.34,58.7633333333333,59.114,"Not_Improving","Not_Improving","Not_Improving"
"2",119,"Down","Yes","810","8101","Department of Buildings","1","PERSONAL SERVICES",4.38,4.5,11.11,5.3,5.73,5.64,5.2,8.5,"Met_Goal","Facilitate safe and compliant development.","Promptly review initial construction plans.","Average days to complete first plan review (Borough offices) - New buildings",12,4.5,6.33333333333333,5.822,"Improving","Improving","Improving"
"3",120,"Down","Yes","810","8101","Department of Buildings","1","PERSONAL SERVICES",5.02,12.14,12.18,6.8,5.5,5.75,5.38,18.7,"Did_Not_Meet","Facilitate safe and compliant development.","Promptly review initial construction plans.","Average days to complete first plan review (Borough offices) -  Major renovation (Alteration I)",10,12.14,10.2933333333333,8.28,"Improving","Not_Improving","Not_Improving"
"4",121,"Down","No","810","8101","Department of Buildings","1","PERSONAL SERVICES",1.3,2.41,3.24,2.65,1.74,1.49,2.66,2.05,"Met_Goal","Facilitate safe and compliant development.","Promptly review initial construction plans.","Average days to complete first plan review (Borough offices) - Minor renovation (Alterations II and III)",4,2.41,2.45333333333333,2.08,"Not_Improving","Improving","Not_Improving"
"5",138,"Up","Yes","810","8101","Department of Buildings","1","PERSONAL SERVICES",203077,135207.187982471,148162,162135,188221,156508,168507,130837,"Did_Not_Meet","Ensure the safe and lawful use of buildings and properties by enforcing the Building Code and the Zoning Resolution.","Rigorously enforce building and zoning laws.","Construction inspections completed",140000,135207.187982471,153826.333333333,170555.4,"Improving","Not_Improving","Not_Improving"
"6",171,"Down","No","810","8101","Department of Buildings","1","PERSONAL SERVICES",915,658.451073517011,979,736,1052,1170,764,653,NA,"Ensure the safe and lawful use of buildings and properties by enforcing the Building Code and the Zoning Resolution.","Prevent construction-related fatalities and injuries.","Construction-related incidents",NA,658.451073517011,717.666666666667,824,"Not_Improving","Improving","Improving"
"7",172,"Down","Yes","810","8101","Department of Buildings","1","PERSONAL SERVICES",646,522.758685583507,526,540,744,622,534,487,NA,"Ensure the safe and lawful use of buildings and properties by enforcing the Building Code and the Zoning Resolution.","Prevent construction-related fatalities and injuries.","Construction-related injuries",NA,522.758685583507,520.333333333333,590.2,"Not_Improving","Not_Improving","Improving"
"8",173,"Down","Yes","810","8101","Department of Buildings","1","PERSONAL SERVICES",11,5.4615515771526,11,13,16,9,8,6,NA,"Ensure the safe and lawful use of buildings and properties by enforcing the Building Code and the Zoning Resolution.","Prevent construction-related fatalities and injuries.","Construction-related fatalities* (subset of injuries)",NA,5.4615515771526,9,10.8,"Improving","Improving","Improving"
"9",875,"Up","Yes","826","8263","Department of Environmental Protection","3","WATER SUP. & WASTEWATER COLL",100,100,100,100,100,100,100,100,"Met_Goal","Ensure the sufficiency, quality and security of the City’s drinking water supply.","Comply with all federal and State drinking water quality standards.","In-City samples meeting water quality standards for coliform bacteria (%)",100,100,100,100,"Improving","Improving","Improving"
"10",879,"Down","No","826","8267","Department of Environmental Protection","7","CENTRAL UTILITY",987,1057,997,986,1004,999,978,981,NA,"Bill and collect revenue for water and sewer usage.","Ensure that customer billing is accurate, transparent and fair.","Average daily in-City water consumption (millions of gallons)",NA,1057,981.666666666667,987.2,"Not_Improving","Not_Improving","Not_Improving"
