Agency Number,Agency Full Name,Raw Service,Service,Unit of Appropriation,U/A Name
858,311,Provide public access to City government.,Provide public access to City government.,11,311 PS
858,311,Customer Service,Customer Service,11,311 PS
68,Administration for Children's Services,Ensure access to safe early child care and education services in all communities.,Ensure access to safe early child care and education services in all communities.,3,HEADSTART and DAYCARE-PS
68,Administration for Children's Services,,,#N/A,#N/A
68,Administration for Children's Services,Provide custody and care of youth in secure and safe detention and placement facilities while providing casework services.,Provide custody and care of youth in secure and safe detention and placement facilities while providing casework services.,7,JUVENILE JUSTICE - PS
68,Administration for Children's Services,Customer Service,Customer Service,5,ADMINISTRATIVE-PS
68,Administration for Children's Services,Protect children from child abuse.,Protect children from child abuse.,1,PERSONAL SERVICES
68,Administration for Children's Services,Agency-wide Management,Agency-wide Management,5,ADMINISTRATIVE-PS
3,Board of Elections,Board of Elections,Board of Elections,1,PERSONAL SERVICES
#N/A,Brooklyn Public Library,BPL Performance Reporting,BPL Performance Reporting,0,0
829,Business Integrity Commission,Regulate businesses in and around the City's public wholesale markets.,Regulate businesses in and around the City's public wholesale markets.,1,PERSONAL SERVICES
829,Business Integrity Commission,Regulate the trade waste industry in the City.,Regulate the trade waste industry in the City.,1,PERSONAL SERVICES
829,Business Integrity Commission,Customer Service,Customer Service,1,PERSONAL SERVICES
226,City Commission on Human Rights,Enforce the NYC Human Rights Law.,Enforce the NYC Human Rights Law.,13,AGENCY-WIDE
226,City Commission on Human Rights,Customer Service,Customer Service,13,AGENCY-WIDE
226,City Commission on Human Rights,Educate the community on the NYC Human Rights Law.,Educate the community on the NYC Human Rights Law.,13,AGENCY-WIDE
42,City University of New York,CUNY Performance Reporting,CUNY Performance Reporting,2,COMMUNITY COLLEGE PS
54,Civilian Complaint Review Board,"Investigate, prosecute and resolve claims of police misconduct.","Investigate, prosecute and resolve claims of police misconduct.",1,CCRB-PS
54,Civilian Complaint Review Board,Customer Service,Customer Service,1,CCRB-PS
54,Civilian Complaint Review Board,Inform and educate the public about the agency.,Inform and educate the public about the agency.,1,CCRB-PS
260,Department of Youth and Community Development,"Increase youth capacity for economic independence though programs that provide work-related education, skills training and employment opportunities.","Increase youth capacity for economic independence though programs that provide work-related education, skills training and employment opportunities.",311,PROGRAM SERVICES - PS
260,Department of Youth and Community Development,Support programs that provide participants with the services needed to increase and tap their capacity to strengthen and revitalize the communities of New York City.,Support programs that provide participants with the services needed to increase and tap their capacity to strengthen and revitalize the communities of New York City.,105,YOUTH WORKFORCE AND CAREER TRAINING - PS
260,Department of Youth and Community Development,"Support youth development throughout New York City through the implementation, funding and management of contracts with nonprofit service providers.","Support youth development throughout New York City through the implementation, funding and management of contracts with nonprofit service providers.",2,EXECUTIVE AND ADMINISTRATIVE MGMT PS
260,Department of Youth and Community Development,Customer Service,Customer Service,2,EXECUTIVE AND ADMINISTRATIVE MGMT PS
260,Department of Youth and Community Development,Agency-wide Management,Agency-wide Management,2,EXECUTIVE AND ADMINISTRATIVE MGMT PS
260,Department of Youth and Community Development,"Provide youth, families, and adults with multiple points of entry to a spectrum of high-quality services.","Provide youth, families, and adults with multiple points of entry to a spectrum of high-quality services.",311,PROGRAM SERVICES - PS
125,Department for the Aging,Provide community-based services to older New Yorkers.,Provide community-based services to older New Yorkers.,2,COMMUNITY PROGRAMS - PS
125,Department for the Aging,Customer Service,Customer Service,1,EXECUTIVE & ADMIN MGMT - PS
125,Department for the Aging,Provide supportive services to homebound older adults and their caregivers.,Provide supportive services to homebound older adults and their caregivers.,6,IN HOME SERVICES - PS
810,Department of Buildings,Ensure the safe and lawful use of buildings and properties by enforcing the Building Code and the Zoning Resolution.,Ensure the safe and lawful use of buildings and properties by enforcing the Building Code and the Zoning Resolution.,1,PERSONAL SERVICES
810,Department of Buildings,Customer Service,Customer Service,1,PERSONAL SERVICES
810,Department of Buildings,Facilitate safe and compliant development.,Facilitate safe and compliant development.,1,PERSONAL SERVICES
810,Department of Buildings,Agency-wide Management,Agency-wide Management,1,PERSONAL SERVICES
30,Department of City Planning,Manage land use and environmental review processes to facilitate public and private development citywide.,Manage land use and environmental review processes to facilitate public and private development citywide.,1,PERSONAL SERVICES
30,Department of City Planning,Customer Service,Customer Service,1,PERSONAL SERVICES
30,Department of City Planning,"Shape the use and development of land in the City’s neighborhoods, business districts and waterfront through participatory planning and zoning changes.","Shape the use and development of land in the City's neighborhoods, business districts and waterfront through participatory planning and zoning changes.",1,PERSONAL SERVICES
30,Department of City Planning,"Prepare information and policy analysis for the public, other government agencies and elected officials.","Prepare information and policy analysis for the public, other government agencies and elected officials.",1,PERSONAL SERVICES
856,Department of Citywide Administrative Services,Manage the City’s fleet and fuel resources.,Manage the City's fleet and fuel resources.,800,CITYWIDE FLEET SERVICES
856,Department of Citywide Administrative Services,Agency-wide Management,Agency-wide Management,100,EXECUTIVE AND OPERATIONS SUPPORT
856,Department of Citywide Administrative Services,Help City agencies fulfill their workforce needs.,Help City agencies fulfill their workforce needs.,1,HUMAN CAPITAL
856,Department of Citywide Administrative Services,Procure goods and select services for City agencies.,Procure goods and select services for City agencies.,400,OFFICE OF CITYWIDE PURCHASING
856,Department of Citywide Administrative Services,Manage energy use by City agencies.,Manage energy use by City agencies.,700,ENERGY MANAGEMENT
856,Department of Citywide Administrative Services,Manage and operate City-owned office buildings.,Manage and operate City-owned office buildings.,300,ASSET MANAGEMENT-PUBLIC FACILITIES
856,Department of Citywide Administrative Services,Customer Service,Customer Service,100,EXECUTIVE AND OPERATIONS SUPPORT
856,Department of Citywide Administrative Services,Manage the City’s surplus real and personal property.,Manage the City's surplus real and personal property.,500,DIV OF REAL ESTATE SERVICES
866,Department of Consumer and Worker Protection,Educate and empower New Yorkers with low incomes.,Educate and empower New Yorkers with low incomes.,1,ADMINISTRATION
866,Department of Consumer and Worker Protection,Protect and advocate for workers.,Protect and advocate for workers.,1,ADMINISTRATION
866,Department of Consumer and Worker Protection,Protect and advocate for consumers and ensure businesses comply with applicable laws and regulations,Protect and advocate for consumers and ensure businesses comply with applicable laws and regulations,2,LICENSING/ENFORCEMENT
866,Department of Consumer and Worker Protection,Customer Service,Customer Service,1,ADMINISTRATION
866,Department of Consumer and Worker Protection,Assist and Educate businesses about their contributions towards a fair marketplace for all.,Assist and Educate businesses about their contributions towards a fair marketplace for all.,2,LICENSING/ENFORCEMENT
72,Department of Correction,"Provide a safe and secure environment for individuals in custody, staff and host communities.","Provide a safe and secure environment for individuals in custody, staff and host communities.",2,OPERATIONS
72,Department of Correction,Provide correction-related services and information to the public.,Provide correction-related services and information to the public.,1,ADMINISTRATION
72,Department of Correction,Provide services that support individual development and prepare individuals in custody for return to their neighborhoods.,Provide services that support individual development and prepare individuals in custody for return to their neighborhoods.,2,OPERATIONS
72,Department of Correction,Customer Service,Customer Service,1,ADMINISTRATION
72,Department of Correction,Agency-wide Management,Agency-wide Management,1,ADMINISTRATION
126,Department of Cultural Affairs,"Provide financial support to the City’s non-profit arts and cultural sector for operations, programs and activities.","Provide financial support to the City's non-profit arts and cultural sector for operations, programs and activities.",1,OFFICE OF COMMISSIONER-PS
126,Department of Cultural Affairs,Promote public appreciation of non-profit arts and culture.,Promote public appreciation of non-profit arts and culture.,1,OFFICE OF COMMISSIONER-PS
126,Department of Cultural Affairs,Customer Service,Customer Service,1,OFFICE OF COMMISSIONER-PS
850,Department of Design and Construction,Customer Service,Customer Service,1,PERSONAL SERVICES
850,Department of Design and Construction,Design and build quality public buildings and infrastructure.,Design and build quality public buildings and infrastructure.,1,PERSONAL SERVICES
40,Department of Education,Educate New York City’s children.,Educate New York City's children.,401,GE INSTR & SCH LEADERSHIP - PS
40,Department of Education,Deliver early childhood education services.,Deliver early childhood education services.,40709,TWO COMBINED ECE UAS
40,Department of Education,,,#N/A,#N/A
40,Department of Education,Agency-wide Management,Agency-wide Management,453,CENTRAL ADMINISTRATION - PS
40,Department of Education,Maintain and enhance the City’s educational facilities.,Maintain and enhance the City's educational facilities.,435,SCHOOL FACILITIES - PS
40,Department of Education,"Provide transportation to all eligible New York City students in public, charter, and non-public schools.","Provide transportation to all eligible New York City students in public, charter, and non-public schools.",453,CENTRAL ADMINISTRATION - PS
40,Department of Education,Support English Language Learners and students with disabilities,Support English Language Learners and students with disabilities,4032123,THREE COMBINED SE UAS
40,Department of Education,"Prepare children to become productive, engaged adults.","Prepare children to become productive, engaged adults.",401,GE INSTR & SCH LEADERSHIP - PS
40,Department of Education,Customer Service,Customer Service,453,CENTRAL ADMINISTRATION - PS
56,Department of Education,Coordinate with NYPD to maintain safe schools.,Coordinate with NYPD to maintain safe schools.,3,SCHOOL SAFETY- P.S.
826,Department of Environmental Protection,"Enforce City laws relating to air pollution, noise pollution and hazardous materials.","Enforce City laws relating to air pollution, noise pollution and hazardous materials.",2,ENVIRONMENTAL MANAGEMENT
826,Department of Environmental Protection,Maintain the City’s water delivery and sewer collection systems.,Maintain the City's water delivery and sewer collection systems.,3,WATER SUP. & WASTEWATER COLL
826,Department of Environmental Protection,Customer Service,Customer Service,1,EXECUTIVE AND SUPPORT
826,Department of Environmental Protection,Agency-wide Management,Agency-wide Management,1,EXECUTIVE AND SUPPORT
826,Department of Environmental Protection,Bill and collect revenue for water and sewer usage.,Bill and collect revenue for water and sewer usage.,7,CENTRAL UTILITY
826,Department of Environmental Protection,Treat wastewater and sewage to protect water quality in the receiving waters surrounding the City.,Treat wastewater and sewage to protect water quality in the receiving waters surrounding the City.,8,WASTEWATER TREATMENT
826,Department of Environmental Protection,"Ensure the sufficiency, quality and security of the City’s drinking water supply.","Ensure the sufficiency, quality and security of the City's drinking water supply.",3,WATER SUP. & WASTEWATER COLL
836,Department of Finance,Bill and collect property and other taxes.,Bill and collect property and other taxes.,3,PROPERTY
836,Department of Finance,"Bill, adjudicate and collect on parking tickets.","Bill, adjudicate and collect on parking tickets.",7,PARKING VIOLATIONS BUREAU
836,Department of Finance,Serve and execute legal processes and mandates,Serve and execute legal processes and mandates,9,CITY SHERIFF
836,Department of Finance,Administer rent and property owner exemption programs,Administer rent and property owner exemption programs,1,ADMINISTRATION & PLANNING
836,Department of Finance,Customer Service,Customer Service,1,ADMINISTRATION & PLANNING
836,Department of Finance,Agency-wide Management,Agency-wide Management,1,ADMINISTRATION & PLANNING
836,Department of Finance,Help NYC taxpayers resolve tax issues,Help NYC taxpayers resolve tax issues,5,LEGAL
836,Department of Finance,Record property-related documents,Record property-related documents,3,PROPERTY
816,Department of Health and Mental Hygiene,Promote a safe environment.,Promote a safe environment.,104,ENVIRONMENTAL HEALTH - PS
816,Department of Health and Mental Hygiene,,,#N/A,#N/A
816,Department of Health and Mental Hygiene,Prevent chronic disease by promoting healthy behaviors and preventive health care.,Prevent chronic disease by promoting healthy behaviors and preventive health care.,105,EARLY INTERVENTION - PS
816,Department of Health and Mental Hygiene,"Prevent and address mental Illness, developmental disabilities, and substance misuse.","Prevent and address mental Illness, developmental disabilities, and substance misuse.",108,MENTAL HYGIENE MANAGEMENT SERVICES - PS
816,Department of Health and Mental Hygiene,Detect and control infectious diseases.,Detect and control infectious diseases.,102,DISEASE CONTROL - PS
816,Department of Health and Mental Hygiene,Provide high quality and timely services to the public.,Provide high quality and timely services to the public.,101,HEALTH ADMINISTRATION - PS
816,Department of Health and Mental Hygiene,Customer Service,Customer Service,101,HEALTH ADMINISTRATION - PS
816,Department of Health and Mental Hygiene,Agency-wide Management,Agency-wide Management,101,HEALTH ADMINISTRATION - PS
71,Department of Homeless Services,Coordinate and/or provide support services to help individuals and families who are homeless to exit shelter as quickly as possible.,Coordinate and/or provide support services to help individuals and families who are homeless to exit shelter as quickly as possible.,101,ADMINISTRATION - PS
71,Department of Homeless Services,Provide temporary emergency housing to homeless individuals and families.,Provide temporary emergency housing to homeless individuals and families.,100,SHELTER INTAKE AND PROGRAM - PS
