Agency,Agency Name,Unit of Appropriation,U/A Name,Adopted Budget,November Plan,October Actuals,Vacancy Rate,Vacancie,Mayoral Agency,Large Agency
68,ADMIN FOR CHILDREN'S SERVICES,3,HEADSTART and DAYCARE-PS,230,230,149,0.35,81,1,1
68,ADMIN FOR CHILDREN'S SERVICES,7,JUVENILE JUSTICE - PS,1178,1178,810,0.31,368,1,1
68,ADMIN FOR CHILDREN'S SERVICES,1,PERSONAL SERVICES,4956,4956,4159,0.16,797,1,1
68,ADMIN FOR CHILDREN'S SERVICES,9,ADOPTION SUBSIDY - PS,26,26,38,-0.46,-12,1,1
68,ADMIN FOR CHILDREN'S SERVICES,5,ADMINISTRATIVE-PS,683,683,1069,-0.57,-386,1,1
73,BOARD OF CORRECTION,1,PERSONAL SERVICES,32,31,24,0.23,7,0,0
3,BOARD OF ELECTIONS,1,PERSONAL SERVICES,517,517,698,-0.35,-181,0,1
12,BOROUGH PRESIDENT - BROOKLYN,1,PERSONAL SERVICES,67,67,49,0.27,18,0,0
10,BOROUGH PRESIDENT - MANHATTAN,1,PERSONAL SERVICES,56,56,50,0.11,6,0,0
13,BOROUGH PRESIDENT - QUEENS,1,PERSONAL SERVICES,54,54,65,-0.20,-11,0,0
11,BOROUGH PRESIDENT BRONX,1,PERSONAL SERVICES,69,69,56,0.19,13,0,0
14,BOROUGH PRESIDENT STATEN ISLAN,1,PERSONAL SERVICES,45,45,29,0.36,16,0,0
829,BUSINESS INTEGRITY COMMISSION,1,PERSONAL SERVICES,81,82,69,0.16,13,1,0
4,CAMPAIGN FINANCE BOARD,1,PERSONAL SERVICES,158,161,129,0.20,32,0,1
103,CITY CLERK,1,PERSONAL SERVICES,70,66,56,0.15,10,0,0
102,CITY COUNCIL,2,COMMITTEE STAFFING,217,217,170,0.22,47,0,1
102,CITY COUNCIL,5,COUNCIL SERVICES DIVISION,167,167,154,0.08,13,0,1
102,CITY COUNCIL,1,COUNCIL MEMBERS,51,51,51,0.00,0,0,1
42,CITY UNIVERSITY,4,HUNTER SCHOOLS-PS,221,221,167,0.24,54,1,1
42,CITY UNIVERSITY,2,COMMUNITY COLLEGE PS,6038,5974,5702,0.05,272,1,1
134,CIVIL SERVICE COMMISSION,1,PERSONAL SERVICES,8,8,8,0.00,0,0,0
54,CIVILIAN COMPLAINT REVIEW BD,1,CCRB-PS,259,259,206,0.21,53,1,1
226,COMMISSION ON HUMAN RIGHTS,3,COMMUNITY DEVELOP P.S.,118,118,43,0.64,75,1,1
226,COMMISSION ON HUMAN RIGHTS,1,PERSONAL SERVICES,24,24,59,-1.46,-35,1,1
226,COMMISSION ON HUMAN RIGHTS,13,AGENCY-WIDE,142,142,102,0.28,40,1,1
312,CONFLICTS OF INTEREST BOARD,1,PERSONAL SERVICES,25,25,23,0.08,2,1,0
125,DEPARTMENT FOR THE AGING,6,IN HOME SERVICES - PS,28,27,22,0.19,5,1,1
125,DEPARTMENT FOR THE AGING,2,COMMUNITY PROGRAMS - PS,131,130,113,0.13,17,1,1
125,DEPARTMENT FOR THE AGING,1,EXECUTIVE & ADMIN MGMT - PS,169,171,150,0.12,21,1,1
